nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
East Of England,2020-02-29,0,0,0,0,0,0,FALSE
East Of England,2020-03-01,0,0,0,0,0,0,FALSE
East Of England,2020-03-02,1,1,0,0,1,1,FALSE
East Of England,2020-03-03,0,1,0,0,0,1,FALSE
East Of England,2020-03-04,0,1,0,0,0,1,FALSE
East Of England,2020-03-05,0,1,0,0,0,1,FALSE
East Of England,2020-03-06,1,2,0,0,1,2,FALSE
East Of England,2020-03-07,0,2,0,0,0,2,FALSE
East Of England,2020-03-08,0,2,0,0,0,2,FALSE
East Of England,2020-03-09,1,3,0,0,1,3,FALSE
East Of England,2020-03-10,0,3,0,0,0,3,FALSE
East Of England,2020-03-11,0,3,0,0,0,3,FALSE
East Of England,2020-03-12,0,3,0,0,0,3,FALSE
East Of England,2020-03-13,1,4,0,0,1,4,FALSE
East Of England,2020-03-14,2,6,0,0,2,6,FALSE
East Of England,2020-03-15,2,8,0,0,2,8,FALSE
East Of England,2020-03-16,1,9,0,0,1,9,FALSE
East Of England,2020-03-17,1,10,0,0,1,10,FALSE
East Of England,2020-03-18,5,15,0,0,5,15,FALSE
East Of England,2020-03-19,4,19,0,0,4,19,FALSE
East Of England,2020-03-20,2,21,0,0,2,21,FALSE
East Of England,2020-03-21,11,32,0,0,11,32,FALSE
East Of England,2020-03-22,12,44,0,0,12,44,FALSE
East Of England,2020-03-23,11,55,0,0,11,55,FALSE
East Of England,2020-03-24,19,74,0,0,19,74,FALSE
East Of England,2020-03-25,26,100,0,0,26,100,FALSE
East Of England,2020-03-26,36,136,0,0,36,136,FALSE
East Of England,2020-03-27,38,174,0,0,38,174,FALSE
East Of England,2020-03-28,28,202,0,0,28,202,FALSE
East Of England,2020-03-29,43,245,0,0,43,245,FALSE
East Of England,2020-03-30,46,291,1,1,47,292,FALSE
East Of England,2020-03-31,70,361,0,1,70,362,FALSE
East Of England,2020-04-01,63,424,0,1,63,425,FALSE
East Of England,2020-04-02,65,489,0,1,65,490,FALSE
East Of England,2020-04-03,80,569,0,1,80,570,FALSE
East Of England,2020-04-04,71,640,0,1,71,641,FALSE
East Of England,2020-04-05,76,716,0,1,76,717,FALSE
East Of England,2020-04-06,71,787,0,1,71,788,FALSE
East Of England,2020-04-07,93,880,0,1,93,881,FALSE
East Of England,2020-04-08,111,991,1,2,112,993,FALSE
East Of England,2020-04-09,87,1078,0,2,87,1080,FALSE
East Of England,2020-04-10,74,1152,0,2,74,1154,FALSE
East Of England,2020-04-11,92,1244,0,2,92,1246,FALSE
East Of England,2020-04-12,100,1344,0,2,100,1346,FALSE
East Of England,2020-04-13,78,1422,0,2,78,1424,FALSE
East Of England,2020-04-14,61,1483,0,2,61,1485,FALSE
East Of England,2020-04-15,82,1565,0,2,82,1567,FALSE
East Of England,2020-04-16,74,1639,0,2,74,1641,FALSE
East Of England,2020-04-17,86,1725,0,2,86,1727,FALSE
East Of England,2020-04-18,64,1789,0,2,64,1791,FALSE
East Of England,2020-04-19,67,1856,0,2,67,1858,FALSE
East Of England,2020-04-20,67,1923,0,2,67,1925,FALSE
East Of England,2020-04-21,75,1998,0,2,75,2000,FALSE
East Of England,2020-04-22,67,2065,0,2,67,2067,FALSE
East Of England,2020-04-23,49,2114,0,2,49,2116,FALSE
East Of England,2020-04-24,66,2180,4,6,70,2186,FALSE
East Of England,2020-04-25,54,2234,1,7,55,2241,FALSE
East Of England,2020-04-26,48,2282,4,11,52,2293,FALSE
East Of England,2020-04-27,46,2328,3,14,49,2342,FALSE
East Of England,2020-04-28,58,2386,8,22,66,2408,FALSE
East Of England,2020-04-29,32,2418,6,28,38,2446,FALSE
East Of England,2020-04-30,45,2463,5,33,50,2496,FALSE
East Of England,2020-05-01,49,2512,6,39,55,2551,FALSE
East Of England,2020-05-02,29,2541,4,43,33,2584,FALSE
East Of England,2020-05-03,41,2582,3,46,44,2628,FALSE
East Of England,2020-05-04,19,2601,4,50,23,2651,FALSE
East Of England,2020-05-05,37,2638,3,53,40,2691,FALSE
East Of England,2020-05-06,32,2670,7,60,39,2730,FALSE
East Of England,2020-05-07,33,2703,3,63,36,2766,FALSE
East Of England,2020-05-08,33,2736,4,67,37,2803,FALSE
East Of England,2020-05-09,29,2765,1,68,30,2833,FALSE
East Of England,2020-05-10,22,2787,6,74,28,2861,FALSE
East Of England,2020-05-11,18,2805,5,79,23,2884,FALSE
East Of England,2020-05-12,21,2826,2,81,23,2907,FALSE
East Of England,2020-05-13,27,2853,5,86,32,2939,FALSE
East Of England,2020-05-14,26,2879,4,90,30,2969,FALSE
East Of England,2020-05-15,19,2898,2,92,21,2990,FALSE
East Of England,2020-05-16,26,2924,1,93,27,3017,FALSE
East Of England,2020-05-17,17,2941,5,98,22,3039,FALSE
East Of England,2020-05-18,25,2966,2,100,27,3066,FALSE
East Of England,2020-05-19,15,2981,7,107,22,3088,FALSE
East Of England,2020-05-20,26,3007,0,107,26,3114,FALSE
East Of England,2020-05-21,21,3028,3,110,24,3138,FALSE
East Of England,2020-05-22,13,3041,8,118,21,3159,FALSE
East Of England,2020-05-23,12,3053,4,122,16,3175,FALSE
East Of England,2020-05-24,17,3070,2,124,19,3194,FALSE
East Of England,2020-05-25,25,3095,0,124,25,3219,FALSE
East Of England,2020-05-26,14,3109,4,128,18,3237,FALSE
East Of England,2020-05-27,12,3121,4,132,16,3253,FALSE
East Of England,2020-05-28,17,3138,0,132,17,3270,FALSE
East Of England,2020-05-29,16,3154,3,135,19,3289,FALSE
East Of England,2020-05-30,9,3163,4,139,13,3302,FALSE
East Of England,2020-05-31,8,3171,3,142,11,3313,FALSE
East Of England,2020-06-01,17,3188,1,143,18,3331,FALSE
East Of England,2020-06-02,14,3202,2,145,16,3347,FALSE
East Of England,2020-06-03,10,3212,2,147,12,3359,FALSE
East Of England,2020-06-04,7,3219,0,147,7,3366,FALSE
East Of England,2020-06-05,14,3233,3,150,17,3383,FALSE
East Of England,2020-06-06,5,3238,1,151,6,3389,FALSE
East Of England,2020-06-07,9,3247,0,151,9,3398,FALSE
East Of England,2020-06-08,7,3254,1,152,8,3406,FALSE
East Of England,2020-06-09,6,3260,4,156,10,3416,FALSE
East Of England,2020-06-10,8,3268,2,158,10,3426,FALSE
East Of England,2020-06-11,1,3269,0,158,1,3427,FALSE
East Of England,2020-06-12,9,3278,0,158,9,3436,FALSE
East Of England,2020-06-13,5,3283,1,159,6,3442,FALSE
East Of England,2020-06-14,4,3287,1,160,5,3447,FALSE
East Of England,2020-06-15,8,3295,2,162,10,3457,FALSE
East Of England,2020-06-16,3,3298,0,162,3,3460,FALSE
East Of England,2020-06-17,7,3305,1,163,8,3468,FALSE
East Of England,2020-06-18,4,3309,2,165,6,3474,FALSE
East Of England,2020-06-19,7,3316,0,165,7,3481,FALSE
East Of England,2020-06-20,4,3320,1,166,5,3486,FALSE
East Of England,2020-06-21,3,3323,2,168,5,3491,FALSE
East Of England,2020-06-22,6,3329,1,169,7,3498,FALSE
East Of England,2020-06-23,5,3334,4,173,9,3507,FALSE
East Of England,2020-06-24,4,3338,0,173,4,3511,FALSE
East Of England,2020-06-25,1,3339,1,174,2,3513,FALSE
East Of England,2020-06-26,6,3345,3,177,9,3522,FALSE
East Of England,2020-06-27,6,3351,1,178,7,3529,FALSE
East Of England,2020-06-28,8,3359,0,178,8,3537,FALSE
East Of England,2020-06-29,4,3363,1,179,5,3542,FALSE
East Of England,2020-06-30,5,3368,3,182,8,3550,FALSE
East Of England,2020-07-01,2,3370,1,183,3,3553,FALSE
East Of England,2020-07-02,5,3375,0,183,5,3558,FALSE
East Of England,2020-07-03,0,3375,1,184,1,3559,FALSE
East Of England,2020-07-04,3,3378,2,186,5,3564,FALSE
East Of England,2020-07-05,1,3379,1,187,2,3566,FALSE
East Of England,2020-07-06,2,3381,0,187,2,3568,FALSE
East Of England,2020-07-07,2,3383,1,188,3,3571,FALSE
East Of England,2020-07-08,0,3383,3,191,3,3574,FALSE
East Of England,2020-07-09,8,3391,1,192,9,3583,FALSE
East Of England,2020-07-10,4,3395,2,194,6,3589,FALSE
East Of England,2020-07-11,2,3397,0,194,2,3591,FALSE
East Of England,2020-07-12,1,3398,1,195,2,3593,FALSE
East Of England,2020-07-13,8,3406,1,196,9,3602,FALSE
East Of England,2020-07-14,2,3408,1,197,3,3605,FALSE
East Of England,2020-07-15,0,3408,3,200,3,3608,FALSE
East Of England,2020-07-16,0,3408,1,201,1,3609,FALSE
East Of England,2020-07-17,0,3408,0,201,0,3609,FALSE
East Of England,2020-07-18,0,3408,0,201,0,3609,FALSE
East Of England,2020-07-19,1,3409,0,201,1,3610,FALSE
East Of England,2020-07-20,1,3410,0,201,1,3611,FALSE
East Of England,2020-07-21,1,3411,0,201,1,3612,FALSE
East Of England,2020-07-22,2,3413,1,202,3,3615,FALSE
East Of England,2020-07-23,1,3414,1,203,2,3617,FALSE
East Of England,2020-07-24,1,3415,0,203,1,3618,FALSE
East Of England,2020-07-25,0,3415,1,204,1,3619,FALSE
East Of England,2020-07-26,1,3416,0,204,1,3620,FALSE
East Of England,2020-07-27,1,3417,0,204,1,3621,FALSE
East Of England,2020-07-28,2,3419,0,204,2,3623,FALSE
East Of England,2020-07-29,0,3419,1,205,1,3624,FALSE
East Of England,2020-07-30,0,3419,1,206,1,3625,FALSE
East Of England,2020-07-31,1,3420,1,207,2,3627,FALSE
East Of England,2020-08-01,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-02,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-03,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-04,1,3421,1,208,2,3629,FALSE
East Of England,2020-08-05,1,3422,0,208,1,3630,FALSE
East Of England,2020-08-06,0,3422,1,209,1,3631,FALSE
East Of England,2020-08-07,1,3423,0,209,1,3632,FALSE
East Of England,2020-08-08,0,3423,0,209,0,3632,FALSE
East Of England,2020-08-09,0,3423,1,210,1,3633,FALSE
East Of England,2020-08-10,1,3424,0,210,1,3634,FALSE
East Of England,2020-08-11,2,3426,0,210,2,3636,FALSE
East Of England,2020-08-12,1,3427,0,210,1,3637,FALSE
East Of England,2020-08-13,0,3427,1,211,1,3638,FALSE
East Of England,2020-08-14,1,3428,0,211,1,3639,FALSE
East Of England,2020-08-15,1,3429,2,213,3,3642,FALSE
East Of England,2020-08-16,0,3429,0,213,0,3642,FALSE
East Of England,2020-08-17,0,3429,0,213,0,3642,FALSE
East Of England,2020-08-18,2,3431,1,214,3,3645,FALSE
East Of England,2020-08-19,1,3432,1,215,2,3647,FALSE
East Of England,2020-08-20,1,3433,0,215,1,3648,FALSE
East Of England,2020-08-21,0,3433,0,215,0,3648,FALSE
East Of England,2020-08-22,1,3434,1,216,2,3650,FALSE
East Of England,2020-08-23,1,3435,0,216,1,3651,FALSE
East Of England,2020-08-24,0,3435,0,216,0,3651,FALSE
East Of England,2020-08-25,0,3435,0,216,0,3651,FALSE
East Of England,2020-08-26,1,3436,2,218,3,3654,FALSE
East Of England,2020-08-27,1,3437,0,218,1,3655,FALSE
East Of England,2020-08-28,0,3437,0,218,0,3655,FALSE
East Of England,2020-08-29,0,3437,1,219,1,3656,FALSE
East Of England,2020-08-30,0,3437,0,219,0,3656,FALSE
East Of England,2020-08-31,0,3437,0,219,0,3656,FALSE
East Of England,2020-09-01,0,3437,0,219,0,3656,FALSE
East Of England,2020-09-02,0,3437,0,219,0,3656,FALSE
East Of England,2020-09-03,1,3438,0,219,1,3657,FALSE
East Of England,2020-09-04,1,3439,0,219,1,3658,FALSE
East Of England,2020-09-05,0,3439,0,219,0,3658,FALSE
East Of England,2020-09-06,1,3440,0,219,1,3659,FALSE
East Of England,2020-09-07,0,3440,0,219,0,3659,FALSE
East Of England,2020-09-08,0,3440,1,220,1,3660,FALSE
East Of England,2020-09-09,0,3440,0,220,0,3660,FALSE
East Of England,2020-09-10,0,3440,1,221,1,3661,FALSE
East Of England,2020-09-11,0,3440,0,221,0,3661,FALSE
East Of England,2020-09-12,0,3440,0,221,0,3661,FALSE
East Of England,2020-09-13,1,3441,0,221,1,3662,FALSE
East Of England,2020-09-14,1,3442,0,221,1,3663,FALSE
East Of England,2020-09-15,0,3442,0,221,0,3663,FALSE
East Of England,2020-09-16,0,3442,0,221,0,3663,FALSE
East Of England,2020-09-17,0,3442,1,222,1,3664,FALSE
East Of England,2020-09-18,0,3442,0,222,0,3664,FALSE
East Of England,2020-09-19,0,3442,1,223,1,3665,FALSE
East Of England,2020-09-20,2,3444,0,223,2,3667,FALSE
East Of England,2020-09-21,0,3444,0,223,0,3667,FALSE
East Of England,2020-09-22,2,3446,0,223,2,3669,FALSE
East Of England,2020-09-23,1,3447,0,223,1,3670,FALSE
East Of England,2020-09-24,0,3447,0,223,0,3670,FALSE
East Of England,2020-09-25,1,3448,0,223,1,3671,FALSE
East Of England,2020-09-26,1,3449,0,223,1,3672,FALSE
East Of England,2020-09-27,1,3450,1,224,2,3674,FALSE
East Of England,2020-09-28,2,3452,0,224,2,3676,FALSE
East Of England,2020-09-29,2,3454,0,224,2,3678,FALSE
East Of England,2020-09-30,2,3456,1,225,3,3681,FALSE
East Of England,2020-10-01,2,3458,0,225,2,3683,FALSE
East Of England,2020-10-02,1,3459,0,225,1,3684,FALSE
East Of England,2020-10-03,1,3460,0,225,1,3685,FALSE
East Of England,2020-10-04,0,3460,0,225,0,3685,FALSE
East Of England,2020-10-05,0,3460,0,225,0,3685,FALSE
East Of England,2020-10-06,4,3464,0,225,4,3689,FALSE
East Of England,2020-10-07,6,3470,0,225,6,3695,FALSE
East Of England,2020-10-08,3,3473,0,225,3,3698,FALSE
East Of England,2020-10-09,1,3474,1,226,2,3700,FALSE
East Of England,2020-10-10,6,3480,0,226,6,3706,FALSE
East Of England,2020-10-11,2,3482,1,227,3,3709,FALSE
East Of England,2020-10-12,2,3484,0,227,2,3711,FALSE
East Of England,2020-10-13,1,3485,0,227,1,3712,FALSE
East Of England,2020-10-14,3,3488,0,227,3,3715,FALSE
East Of England,2020-10-15,4,3492,0,227,4,3719,FALSE
East Of England,2020-10-16,5,3497,0,227,5,3724,FALSE
East Of England,2020-10-17,6,3503,0,227,6,3730,FALSE
East Of England,2020-10-18,7,3510,1,228,8,3738,FALSE
East Of England,2020-10-19,5,3515,0,228,5,3743,FALSE
East Of England,2020-10-20,9,3524,0,228,9,3752,FALSE
East Of England,2020-10-21,8,3532,0,228,8,3760,FALSE
East Of England,2020-10-22,7,3539,1,229,8,3768,FALSE
East Of England,2020-10-23,14,3553,1,230,15,3783,FALSE
East Of England,2020-10-24,1,3554,0,230,1,3784,FALSE
East Of England,2020-10-25,10,3564,1,231,11,3795,FALSE
East Of England,2020-10-26,10,3574,0,231,10,3805,FALSE
East Of England,2020-10-27,8,3582,0,231,8,3813,FALSE
East Of England,2020-10-28,12,3594,0,231,12,3825,FALSE
East Of England,2020-10-29,10,3604,0,231,10,3835,FALSE
East Of England,2020-10-30,12,3616,0,231,12,3847,FALSE
East Of England,2020-10-31,15,3631,0,231,15,3862,FALSE
East Of England,2020-11-01,14,3645,1,232,15,3877,FALSE
East Of England,2020-11-02,9,3654,2,234,11,3888,FALSE
East Of England,2020-11-03,14,3668,0,234,14,3902,FALSE
East Of England,2020-11-04,11,3679,1,235,12,3914,FALSE
East Of England,2020-11-05,12,3691,1,236,13,3927,FALSE
East Of England,2020-11-06,19,3710,0,236,19,3946,FALSE
East Of England,2020-11-07,10,3720,0,236,10,3956,FALSE
East Of England,2020-11-08,13,3733,0,236,13,3969,FALSE
East Of England,2020-11-09,16,3749,0,236,16,3985,FALSE
East Of England,2020-11-10,26,3775,3,239,29,4014,FALSE
East Of England,2020-11-11,14,3789,1,240,15,4029,FALSE
East Of England,2020-11-12,14,3803,0,240,14,4043,FALSE
East Of England,2020-11-13,21,3824,2,242,23,4066,FALSE
East Of England,2020-11-14,19,3843,1,243,20,4086,FALSE
East Of England,2020-11-15,13,3856,3,246,16,4102,FALSE
East Of England,2020-11-16,11,3867,3,249,14,4116,FALSE
East Of England,2020-11-17,17,3884,2,251,19,4135,FALSE
East Of England,2020-11-18,19,3903,0,251,19,4154,FALSE
East Of England,2020-11-19,23,3926,5,256,28,4182,FALSE
East Of England,2020-11-20,24,3950,1,257,25,4207,FALSE
East Of England,2020-11-21,19,3969,2,259,21,4228,FALSE
East Of England,2020-11-22,21,3990,2,261,23,4251,FALSE
East Of England,2020-11-23,18,4008,1,262,19,4270,FALSE
East Of England,2020-11-24,21,4029,0,262,21,4291,FALSE
East Of England,2020-11-25,19,4048,1,263,20,4311,FALSE
East Of England,2020-11-26,19,4067,0,263,19,4330,FALSE
East Of England,2020-11-27,14,4081,1,264,15,4345,FALSE
East Of England,2020-11-28,28,4109,0,264,28,4373,FALSE
East Of England,2020-11-29,19,4128,1,265,20,4393,FALSE
East Of England,2020-11-30,22,4150,2,267,24,4417,FALSE
East Of England,2020-12-01,26,4176,1,268,27,4444,FALSE
East Of England,2020-12-02,18,4194,2,270,20,4464,FALSE
East Of England,2020-12-03,24,4218,0,270,24,4488,FALSE
East Of England,2020-12-04,25,4243,2,272,27,4515,FALSE
East Of England,2020-12-05,25,4268,1,273,26,4541,FALSE
East Of England,2020-12-06,22,4290,1,274,23,4564,FALSE
East Of England,2020-12-07,16,4306,1,275,17,4581,FALSE
East Of England,2020-12-08,26,4332,2,277,28,4609,FALSE
East Of England,2020-12-09,20,4352,0,277,20,4629,FALSE
East Of England,2020-12-10,32,4384,1,278,33,4662,FALSE
East Of England,2020-12-11,32,4416,1,279,33,4695,FALSE
East Of England,2020-12-12,27,4443,0,279,27,4722,FALSE
East Of England,2020-12-13,25,4468,0,279,25,4747,FALSE
East Of England,2020-12-14,32,4500,5,284,37,4784,FALSE
East Of England,2020-12-15,35,4535,2,286,37,4821,FALSE
East Of England,2020-12-16,29,4564,2,288,31,4852,FALSE
East Of England,2020-12-17,44,4608,1,289,45,4897,FALSE
East Of England,2020-12-18,44,4652,2,291,46,4943,FALSE
East Of England,2020-12-19,54,4706,1,292,55,4998,FALSE
East Of England,2020-12-20,52,4758,1,293,53,5051,FALSE
East Of England,2020-12-21,66,4824,2,295,68,5119,FALSE
East Of England,2020-12-22,52,4876,8,303,60,5179,FALSE
East Of England,2020-12-23,62,4938,3,306,65,5244,FALSE
East Of England,2020-12-24,61,4999,3,309,64,5308,FALSE
East Of England,2020-12-25,58,5057,2,311,60,5368,FALSE
East Of England,2020-12-26,64,5121,4,315,68,5436,FALSE
East Of England,2020-12-27,54,5175,0,315,54,5490,FALSE
East Of England,2020-12-28,71,5246,3,318,74,5564,FALSE
East Of England,2020-12-29,55,5301,1,319,56,5620,FALSE
East Of England,2020-12-30,76,5377,6,325,82,5702,FALSE
East Of England,2020-12-31,82,5459,4,329,86,5788,FALSE
East Of England,2021-01-01,90,5549,2,331,92,5880,FALSE
East Of England,2021-01-02,66,5615,5,336,71,5951,FALSE
East Of England,2021-01-03,79,5694,12,348,91,6042,FALSE
East Of England,2021-01-04,88,5782,5,353,93,6135,FALSE
East Of England,2021-01-05,103,5885,8,361,111,6246,FALSE
East Of England,2021-01-06,100,5985,5,366,105,6351,FALSE
East Of England,2021-01-07,114,6099,8,374,122,6473,FALSE
East Of England,2021-01-08,97,6196,6,380,103,6576,FALSE
East Of England,2021-01-09,133,6329,10,390,143,6719,FALSE
East Of England,2021-01-10,125,6454,6,396,131,6850,FALSE
East Of England,2021-01-11,126,6580,5,401,131,6981,FALSE
East Of England,2021-01-12,131,6711,10,411,141,7122,FALSE
East Of England,2021-01-13,131,6842,10,421,141,7263,FALSE
East Of England,2021-01-14,128,6970,3,424,131,7394,FALSE
East Of England,2021-01-15,119,7089,7,431,126,7520,FALSE
East Of England,2021-01-16,132,7221,8,439,140,7660,FALSE
East Of England,2021-01-17,134,7355,13,452,147,7807,FALSE
East Of England,2021-01-18,121,7476,3,455,124,7931,FALSE
East Of England,2021-01-19,129,7605,3,458,132,8063,FALSE
East Of England,2021-01-20,148,7753,6,464,154,8217,FALSE
East Of England,2021-01-21,136,7889,6,470,142,8359,FALSE
East Of England,2021-01-22,123,8012,9,479,132,8491,FALSE
East Of England,2021-01-23,102,8114,9,488,111,8602,FALSE
East Of England,2021-01-24,101,8215,1,489,102,8704,FALSE
East Of England,2021-01-25,114,8329,7,496,121,8825,FALSE
East Of England,2021-01-26,89,8418,7,503,96,8921,FALSE
East Of England,2021-01-27,94,8512,7,510,101,9022,FALSE
East Of England,2021-01-28,111,8623,12,522,123,9145,FALSE
East Of England,2021-01-29,96,8719,5,527,101,9246,FALSE
East Of England,2021-01-30,85,8804,6,533,91,9337,FALSE
East Of England,2021-01-31,74,8878,8,541,82,9419,FALSE
East Of England,2021-02-01,67,8945,4,545,71,9490,FALSE
East Of England,2021-02-02,75,9020,3,548,78,9568,FALSE
East Of England,2021-02-03,82,9102,7,555,89,9657,FALSE
East Of England,2021-02-04,75,9177,11,566,86,9743,FALSE
East Of England,2021-02-05,66,9243,10,576,76,9819,FALSE
East Of England,2021-02-06,78,9321,6,582,84,9903,FALSE
East Of England,2021-02-07,62,9383,3,585,65,9968,FALSE
East Of England,2021-02-08,74,9457,4,589,78,10046,FALSE
East Of England,2021-02-09,63,9520,5,594,68,10114,FALSE
East Of England,2021-02-10,53,9573,9,603,62,10176,FALSE
East Of England,2021-02-11,52,9625,7,610,59,10235,FALSE
East Of England,2021-02-12,47,9672,3,613,50,10285,FALSE
East Of England,2021-02-13,47,9719,5,618,52,10337,FALSE
East Of England,2021-02-14,33,9752,4,622,37,10374,FALSE
East Of England,2021-02-15,48,9800,4,626,52,10426,FALSE
East Of England,2021-02-16,47,9847,5,631,52,10478,FALSE
East Of England,2021-02-17,46,9893,4,635,50,10528,FALSE
East Of England,2021-02-18,31,9924,7,642,38,10566,FALSE
East Of England,2021-02-19,29,9953,7,649,36,10602,FALSE
East Of England,2021-02-20,31,9984,7,656,38,10640,FALSE
East Of England,2021-02-21,25,10009,2,658,27,10667,FALSE
East Of England,2021-02-22,26,10035,2,660,28,10695,FALSE
East Of England,2021-02-23,28,10063,1,661,29,10724,FALSE
East Of England,2021-02-24,19,10082,6,667,25,10749,FALSE
East Of England,2021-02-25,24,10106,3,670,27,10776,FALSE
East Of England,2021-02-26,15,10121,5,675,20,10796,FALSE
East Of England,2021-02-27,23,10144,5,680,28,10824,FALSE
East Of England,2021-02-28,18,10162,1,681,19,10843,FALSE
East Of England,2021-03-01,18,10180,3,684,21,10864,FALSE
East Of England,2021-03-02,19,10199,3,687,22,10886,FALSE
East Of England,2021-03-03,12,10211,3,690,15,10901,FALSE
East Of England,2021-03-04,19,10230,5,695,24,10925,FALSE
East Of England,2021-03-05,13,10243,2,697,15,10940,FALSE
East Of England,2021-03-06,12,10255,3,700,15,10955,FALSE
East Of England,2021-03-07,16,10271,5,705,21,10976,FALSE
East Of England,2021-03-08,15,10286,2,707,17,10993,FALSE
East Of England,2021-03-09,12,10298,4,711,16,11009,FALSE
East Of England,2021-03-10,9,10307,2,713,11,11020,FALSE
East Of England,2021-03-11,11,10318,4,717,15,11035,FALSE
East Of England,2021-03-12,4,10322,4,721,8,11043,FALSE
East Of England,2021-03-13,11,10333,1,722,12,11055,FALSE
East Of England,2021-03-14,6,10339,1,723,7,11062,FALSE
East Of England,2021-03-15,6,10345,2,725,8,11070,FALSE
East Of England,2021-03-16,8,10353,0,725,8,11078,FALSE
East Of England,2021-03-17,9,10362,5,730,14,11092,FALSE
East Of England,2021-03-18,2,10364,2,732,4,11096,FALSE
East Of England,2021-03-19,4,10368,2,734,6,11102,FALSE
East Of England,2021-03-20,5,10373,2,736,7,11109,FALSE
East Of England,2021-03-21,9,10382,1,737,10,11119,FALSE
East Of England,2021-03-22,3,10385,2,739,5,11124,FALSE
East Of England,2021-03-23,8,10393,0,739,8,11132,FALSE
East Of England,2021-03-24,4,10397,2,741,6,11138,FALSE
East Of England,2021-03-25,6,10403,0,741,6,11144,FALSE
East Of England,2021-03-26,1,10404,3,744,4,11148,FALSE
East Of England,2021-03-27,3,10407,1,745,4,11152,FALSE
East Of England,2021-03-28,3,10410,0,745,3,11155,FALSE
East Of England,2021-03-29,5,10415,1,746,6,11161,FALSE
East Of England,2021-03-30,6,10421,2,748,8,11169,FALSE
East Of England,2021-03-31,2,10423,0,748,2,11171,FALSE
East Of England,2021-04-01,3,10426,2,750,5,11176,FALSE
East Of England,2021-04-02,2,10428,0,750,2,11178,FALSE
East Of England,2021-04-03,6,10434,0,750,6,11184,FALSE
East Of England,2021-04-04,4,10438,1,751,5,11189,FALSE
East Of England,2021-04-05,0,10438,3,754,3,11192,FALSE
East Of England,2021-04-06,0,10438,1,755,1,11193,FALSE
East Of England,2021-04-07,2,10440,2,757,4,11197,FALSE
East Of England,2021-04-08,4,10444,2,759,6,11203,FALSE
East Of England,2021-04-09,2,10446,1,760,3,11206,FALSE
East Of England,2021-04-10,6,10452,2,762,8,11214,FALSE
East Of England,2021-04-11,1,10453,0,762,1,11215,FALSE
East Of England,2021-04-12,1,10454,1,763,2,11217,FALSE
East Of England,2021-04-13,3,10457,2,765,5,11222,FALSE
East Of England,2021-04-14,1,10458,1,766,2,11224,FALSE
East Of England,2021-04-15,2,10460,1,767,3,11227,FALSE
East Of England,2021-04-16,4,10464,1,768,5,11232,FALSE
East Of England,2021-04-17,1,10465,1,769,2,11234,FALSE
East Of England,2021-04-18,3,10468,0,769,3,11237,FALSE
East Of England,2021-04-19,1,10469,0,769,1,11238,FALSE
East Of England,2021-04-20,3,10472,0,769,3,11241,FALSE
East Of England,2021-04-21,2,10474,1,770,3,11244,FALSE
East Of England,2021-04-22,0,10474,0,770,0,11244,FALSE
East Of England,2021-04-23,4,10478,2,772,6,11250,FALSE
East Of England,2021-04-24,0,10478,0,772,0,11250,FALSE
East Of England,2021-04-25,4,10482,0,772,4,11254,FALSE
East Of England,2021-04-26,1,10483,0,772,1,11255,FALSE
East Of England,2021-04-27,4,10487,0,772,4,11259,FALSE
East Of England,2021-04-28,2,10489,1,773,3,11262,FALSE
East Of England,2021-04-29,0,10489,0,773,0,11262,FALSE
East Of England,2021-04-30,1,10490,0,773,1,11263,FALSE
East Of England,2021-05-01,0,10490,0,773,0,11263,FALSE
East Of England,2021-05-02,0,10490,0,773,0,11263,FALSE
East Of England,2021-05-03,0,10490,0,773,0,11263,FALSE
East Of England,2021-05-04,0,10490,1,774,1,11264,FALSE
East Of England,2021-05-05,2,10492,1,775,3,11267,FALSE
East Of England,2021-05-06,4,10496,0,775,4,11271,FALSE
East Of England,2021-05-07,0,10496,0,775,0,11271,FALSE
East Of England,2021-05-08,2,10498,1,776,3,11274,FALSE
East Of England,2021-05-09,0,10498,0,776,0,11274,FALSE
East Of England,2021-05-10,0,10498,0,776,0,11274,FALSE
East Of England,2021-05-11,4,10502,0,776,4,11278,FALSE
East Of England,2021-05-12,0,10502,0,776,0,11278,FALSE
East Of England,2021-05-13,0,10502,1,777,1,11279,FALSE
East Of England,2021-05-14,0,10502,0,777,0,11279,FALSE
East Of England,2021-05-15,0,10502,0,777,0,11279,FALSE
East Of England,2021-05-16,1,10503,1,778,2,11281,FALSE
East Of England,2021-05-17,0,10503,0,778,0,11281,FALSE
East Of England,2021-05-18,1,10504,0,778,1,11282,FALSE
East Of England,2021-05-19,0,10504,0,778,0,11282,FALSE
East Of England,2021-05-20,0,10504,0,778,0,11282,FALSE
East Of England,2021-05-21,1,10505,1,779,2,11284,FALSE
East Of England,2021-05-22,0,10505,0,779,0,11284,FALSE
East Of England,2021-05-23,0,10505,0,779,0,11284,FALSE
East Of England,2021-05-24,0,10505,1,780,1,11285,FALSE
